Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,10,35,2,2,35,17,35,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,39,801,7,3,39,5,376,641,281,91,35,true
0,release-4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,18,41,1,1,41,41,41,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,83,83,2,1,83,41,83,342,281,171,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,57,92,2,2,92,46,92,452,281,226,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,82,153,2,2,149,74,149,452,281,226,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,67,159,5,3,105,21,103,619,281,123,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,29,54,1,1,54,54,54,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,41,90,2,2,68,34,68,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,30,57,1,1,57,57,57,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,391,521,10,3,391,39,361,694,281,69,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,32,62,1,1,62,62,62,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,27,53,1,1,53,53,53,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,13,35,1,1,35,35,35,281,281,281,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,203,229,7,3,203,29,202,678,281,96,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,125,185,3,2,177,59,176,549,281,183,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,34,86,2,2,66,33,65,452,281,226,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,40,108,4,2,40,10,39,610,281,152,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,103,209,10,3,103,10,80,735,281,73,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,140,166,8,3,140,17,105,657,281,82,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,112,112,1,1,112,112,112,35,35,35,0,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,24,50,1,1,50,50,50,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,42,78,2,2,74,37,73,378,281,189,35,true
