dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;65,0000;6,0000;125,0000;24,0000;0,9155;0,7303;0,8125;0,9075;0,7075
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;54,0000;4,0000;127,0000;35,0000;0,9310;0,6067;0,7347;0,8949;0,6103
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;5,0000;0,0000;131,0000;84,0000;1,0000;0,0562;0,1064;0,5281;0,0662
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;16,0000;0,0000;131,0000;73,0000;1,0000;0,1798;0,3048;0,5899;0,2070
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;26,0000;2,0000;129,0000;63,0000;0,9286;0,2921;0,4444;0,8654;0,3110
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;34,0000;2,0000;129,0000;55,0000;0,9444;0,3820;0,5440;0,8996;0,4055
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;76,0000;35,0000;96,0000;13,0000;0,6847;0,8539;0,7600;0,8646;0,5644
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;52,0000;3,0000;128,0000;37,0000;0,9455;0,5843;0,7222;0,9106;0,5980
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;23,0000;0,0000;131,0000;66,0000;1,0000;0,2584;0,4107;0,6292;0,2933
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;12,0000;0,0000;131,0000;77,0000;1,0000;0,1348;0,2376;0,5674;0,1565
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;21,0000;2,0000;129,0000;68,0000;0,9130;0,2360;0,3750;0,7092;0,2505
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;46,0000;11,0000;120,0000;43,0000;0,8070;0,5169;0,6301;0,8080;0,4594
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;76,0000;38,0000;93,0000;13,0000;0,6667;0,8539;0,7488;0,8609;0,5396
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;57,0000;4,0000;127,0000;32,0000;0,9344;0,6404;0,7600;0,9004;0,6423
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;12,0000;0,0000;131,0000;77,0000;1,0000;0,1348;0,2376;0,5674;0,1565
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;19,0000;0,0000;131,0000;70,0000;1,0000;0,2135;0,3519;0,6067;0,2443
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;70,0000;30,0000;101,0000;19,0000;0,7000;0,7865;0,7407;0,8342;0,5467
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;87,0000;130,0000;1,0000;2,0000;0,4009;0,9775;0,5686;0,6452;-0,0121
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;73,0000;18,0000;113,0000;16,0000;0,8022;0,8202;0,8111;0,9019;0,6804
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;57,0000;4,0000;127,0000;32,0000;0,9344;0,6404;0,7600;0,8960;0,6423
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;4,0000;0,0000;131,0000;85,0000;1,0000;0,0449;0,0860;0,5225;0,0531
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;25,0000;0,0000;131,0000;64,0000;1,0000;0,2809;0,4386;0,6404;0,3175
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;19,0000;3,0000;128,0000;70,0000;0,8636;0,2135;0,3423;0,7902;0,2167
BOOKKEEPER;1;38,64;40,45;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;8,0000;0,0000;131,0000;81,0000;1,0000;0,0899;0,1649;0,8192;0,1052
BOOKKEEPER;1;38,64;40,45;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,4748;0,0000
