Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,11,37,2,2,35,17,35,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,181,255,5,2,231,46,224,579,281,115,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,45,1019,7,3,55,7,472,641,281,91,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,25,39,3,2,33,11,33,513,281,171,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,6,31,2,2,29,14,29,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,7,43,2,2,37,18,37,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,131,163,5,2,141,28,130,517,281,103,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,100,123,2,1,123,61,123,342,281,171,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,67,100,2,2,98,49,98,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,114,155,2,2,149,74,149,452,281,226,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,20,45,1,1,45,45,45,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,67,191,5,3,105,21,103,619,281,123,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,178,331,3,2,227,75,226,549,281,183,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,45,68,3,2,60,20,60,513,281,171,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,56,118,4,2,96,24,95,578,281,144,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,29,62,2,2,60,30,60,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,41,90,2,2,68,34,68,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,41,82,2,2,74,37,74,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,446,702,10,3,542,54,512,694,281,69,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,32,62,1,1,62,62,62,281,281,281,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,59,102,4,2,84,21,83,578,281,144,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,128,147,4,3,133,33,127,556,281,139,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,13,35,1,1,35,35,35,281,281,281,35,false
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,18,43,2,2,41,20,41,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,130,185,3,2,177,59,176,549,281,183,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,37,92,2,2,66,33,65,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,46,151,4,2,59,14,58,610,281,152,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,15,42,4,2,22,5,21,610,281,152,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,27,53,1,1,53,53,53,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,133,219,4,3,197,49,187,552,281,138,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,30,38,1,1,38,38,38,29,29,29,2,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,18,101,2,2,91,45,91,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,109,253,10,3,127,12,100,735,281,73,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,4,22,1,1,22,22,22,281,281,281,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,151,263,8,3,189,23,147,657,281,82,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,118,137,1,1,137,137,137,35,35,35,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,24,50,1,1,50,50,50,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,46,78,2,2,74,37,73,378,281,189,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,61,102,2,2,98,49,97,378,281,189,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,35,62,1,1,62,62,62,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,542,1043,3,2,737,245,736,549,281,183,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,8,64,3,2,48,16,48,481,281,160,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,367,634,4,3,566,141,561,550,281,137,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,302,415,6,3,385,64,364,612,281,102,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,24,48,2,2,46,23,46,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,9,25,4,3,15,3,15,531,281,132,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,9,31,2,2,29,14,29,452,281,226,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,33,56,1,1,56,56,56,281,281,281,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,132,176,6,3,164,27,95,627,281,104,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,314,545,12,3,353,29,181,730,281,60,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,6,28,1,1,28,28,28,281,281,281,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,77,132,4,2,114,28,113,578,281,144,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,805,1231,15,3,889,59,515,750,281,50,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,268,399,4,2,369,92,359,578,281,144,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,100,223,4,3,183,45,185,560,281,140,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,32,62,2,2,58,29,57,378,281,189,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,400,806,6,2,436,72,437,223,97,37,5,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,9,12,1,1,12,12,12,29,29,29,2,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,226,291,2,2,289,144,289,452,281,226,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,62,164,2,2,104,52,104,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,128,196,8,3,152,19,149,685,281,85,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,18,42,1,1,42,42,42,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,37,96,2,2,64,32,64,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,223,824,10,3,302,30,214,752,281,75,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,94,138,1,1,138,138,138,281,281,281,35,false
