dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;14,0000;0,0000;836,0000;97,0000;1,0000;0,1261;0,2240;0,8100;0,2031
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;20,0000;1,0000;835,0000;91,0000;0,9524;0,1802;0,3030;0,8085;0,2760
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7324;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7465;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;17,0000;0,0000;836,0000;94,0000;1,0000;0,1532;0,2656;0,8174;0,2420
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;17,0000;1,0000;835,0000;94,0000;0,9444;0,1532;0,2636;0,6264;0,2387
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7020;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7112;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;87,0000;243,0000;593,0000;24,0000;0,2636;0,7838;0,3946;0,8055;0,2658
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;73,0000;101,0000;735,0000;38,0000;0,4195;0,6577;0,5123;0,8285;0,4308
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;1,0000;0,0000;836,0000;110,0000;1,0000;0,0090;0,0179;0,5045;0,0158
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;3,0000;1,0000;835,0000;108,0000;0,7500;0,0270;0,0522;0,8172;0,0444
OPENJPA;1;7,68;11,72;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;4,0000;1,0000;835,0000;107,0000;0,8000;0,0360;0,0690;0,7968;0,0595
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;15,0000;4,0000;832,0000;96,0000;0,7895;0,1351;0,2308;0,8196;0,2035
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;44,0000;35,0000;801,0000;67,0000;0,5570;0,3964;0,4632;0,8085;0,4052
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7568;0,0000
OPENJPA;1;7,68;11,72;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;836,0000;111,0000;NaN;0,0000;NaN;0,7624;0,0000
OPENJPA;1;7,68;11,72;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;34,0000;26,0000;810,0000;77,0000;0,5667;0,3063;0,3977;0,6879;0,3437
