Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,582,977,8,1,791,98,794,3731,1027,466,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,43,84,2,1,84,42,84,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/TransactionListener.java,5,68,5,1,10,2,7,3092,1027,618,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java,197,839,8,2,255,31,237,3440,1027,430,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/TimeUnit.java,292,1515,7,1,555,79,564,3724,1027,532,47,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java,268,995,11,4,331,30,310,3621,1027,329,45,true
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ToLowerCase.java,24,186,5,2,54,10,53,2960,1027,592,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java,58,95,3,1,93,31,93,1723,1027,574,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactoryImpl.java,28,38,2,1,38,19,38,1502,1027,751,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,193,232,2,1,232,116,232,1502,1027,751,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,86,134,5,2,100,20,105,1642,1027,328,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/Order.java,12,62,4,1,18,4,18,2871,1027,717,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/RangeResultObjectProvider.java,77,272,8,1,130,16,145,3812,1027,476,47,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask.java,41,172,7,2,50,7,49,2975,1027,425,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java,132,526,7,2,184,26,158,3461,1027,494,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,154,1601,10,3,495,49,488,3317,1027,331,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/Commentable.java,8,109,8,1,37,4,40,3589,1027,448,53,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java,45,108,6,2,58,9,41,1832,1027,305,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/NoneOrphanedKeyAction.java,10,82,5,1,16,3,12,3092,1027,618,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCache.java,30,188,6,1,42,7,44,3141,1027,523,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OrderingMergedResultObjectProvider.java,69,318,4,1,108,27,102,2871,1027,717,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ZipResourceBundleProvider.java,38,153,8,1,67,8,75,3759,1027,469,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,26,88,3,2,86,28,86,1541,1027,513,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,31,102,5,2,40,8,50,1806,1027,361,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,673,2,3,2,0,0,0,1541,1027,513,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataModes.java,8,79,5,1,13,2,10,3092,1027,618,45,false
0,openjpa-examples/src/main/java/hellojpa/Message.java,35,48,2,1,48,24,48,10,8,5,29,false
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/DataCache.java,12,114,5,1,38,7,35,3092,1027,618,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/FlushTransactionListener.java,7,97,5,1,13,2,10,3092,1027,618,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,86,105,3,1,103,34,104,1523,1027,507,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Val.java,67,350,7,2,116,16,102,3461,1027,494,45,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneFieldStrategy.java,19,51,2,1,51,25,51,1502,1027,751,44,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/ResultList.java,12,148,6,1,54,9,62,3235,1027,539,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java,432,652,4,2,614,153,609,1725,1027,431,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java,532,2244,7,2,646,92,649,3592,1027,513,45,false
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/MapConfigurationProvider.java,43,242,10,3,84,8,105,3330,1027,333,47,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,35,67,2,1,67,33,67,1502,1027,751,44,true
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,119,169,3,2,167,55,166,1545,1027,515,44,false
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,11,17,2,1,17,8,17,1502,1027,751,44,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/DetachListener.java,7,79,4,1,13,3,10,2871,1027,717,45,false
0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAVersion.java,96,320,14,3,114,8,51,2970,1027,212,45,false
