dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;62,0000;5,0000;120,0000;33,0000;0,9254;0,6526;0,7654;0,8791;0,6351
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;46,0000;6,0000;119,0000;49,0000;0,8846;0,4842;0,6259;0,8845;0,4613
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;4,0000;0,0000;125,0000;91,0000;1,0000;0,0421;0,0808;0,5211;0,0476
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;5,0000;0,0000;125,0000;90,0000;1,0000;0,0526;0,1000;0,5263;0,0594
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;25,0000;3,0000;122,0000;70,0000;0,8929;0,2632;0,4065;0,8425;0,2613
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;48,0000;5,0000;120,0000;47,0000;0,9057;0,5053;0,6486;0,8641;0,4913
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;61,0000;5,0000;120,0000;34,0000;0,9242;0,6421;0,7578;0,9035;0,6250
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;53,0000;9,0000;116,0000;42,0000;0,8548;0,5579;0,6752;0,8637;0,5070
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;4,0000;0,0000;125,0000;91,0000;1,0000;0,0421;0,0808;0,5211;0,0476
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;6,0000;0,0000;125,0000;89,0000;1,0000;0,0632;0,1188;0,5316;0,0712
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;67,0000;114,0000;11,0000;28,0000;0,3702;0,7053;0,4855;0,4535;-0,1865
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;36,0000;3,0000;122,0000;59,0000;0,9231;0,3789;0,5373;0,7767;0,3820
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;67,0000;5,0000;120,0000;28,0000;0,9306;0,7053;0,8024;0,8823;0,6852
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;56,0000;3,0000;122,0000;39,0000;0,9492;0,5895;0,7273;0,8722;0,5924
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;5,0000;0,0000;125,0000;90,0000;1,0000;0,0526;0,1000;0,5263;0,0594
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;14,0000;0,0000;125,0000;81,0000;1,0000;0,1474;0,2569;0,5737;0,1642
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;84,0000;114,0000;11,0000;11,0000;0,4242;0,8842;0,5734;0,6747;-0,0246
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;65,0000;32,0000;93,0000;30,0000;0,6701;0,6842;0,6771;0,8011;0,4271
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;71,0000;8,0000;117,0000;24,0000;0,8987;0,7474;0,8161;0,8972;0,6975
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;47,0000;2,0000;123,0000;48,0000;0,9592;0,4947;0,6528;0,8819;0,5083
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;3,0000;0,0000;125,0000;92,0000;1,0000;0,0316;0,0612;0,5158;0,0357
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;10,0000;0,0000;125,0000;85,0000;1,0000;0,1053;0,1905;0,5526;0,1179
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;11,0000;1,0000;124,0000;84,0000;0,9167;0,1158;0,2056;0,7896;0,1204
BOOKKEEPER;1;45,45;43,18;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;30,0000;5,0000;120,0000;65,0000;0,8571;0,3158;0,4615;0,7888;0,2984
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5688;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,4816;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5688;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,4816;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;35,0000;2,0000;123,0000;60,0000;0,9459;0,3684;0,5303;0,6574;0,3803
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5583;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;31,0000;2,0000;123,0000;64,0000;0,9394;0,3263;0,4844;0,6552;0,3367
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,7471;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;84,0000;125,0000;0,0000;11,0000;0,4019;0,8842;0,5526;0,7092;-0,1012
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5760;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5153;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;123,0000;2,0000;0,0000;0,4358;1,0000;0,6070;0,5080;0,0138
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6931;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;27,0000;3,0000;122,0000;68,0000;0,9000;0,2842;0,4320;0,8842;0,2835
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6253;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5184;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,5000;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6747;0,0000
BOOKKEEPER;1;45,45;43,18;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;95,0000;125,0000;0,0000;0,0000;0,4318;1,0000;0,6032;0,6835;0,0000
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;80,0000;82,0000;43,0000;15,0000;0,4938;0,8421;0,6226;0,5931;0,1716
BOOKKEEPER;1;45,45;43,18;IBK;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;70,0000;11,0000;114,0000;25,0000;0,8642;0,7368;0,7955;0,8244;0,6605
