dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;7,0000;0,0000;832,0000;108,0000;1,0000;0,0609;0,1148;0,8146;0,1022
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;17,0000;1,0000;831,0000;98,0000;0,9444;0,1478;0,2556;0,8238;0,2303
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,7032;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,8094;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;36,0000;8,0000;824,0000;79,0000;0,8182;0,3130;0,4528;0,7834;0,4134
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;26,0000;5,0000;827,0000;89,0000;0,8387;0,2261;0,3562;0,7964;0,3212
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,7107;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;5,0000;0,0000;832,0000;110,0000;1,0000;0,0435;0,0833;0,8032;0,0740
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;89,0000;326,0000;506,0000;26,0000;0,2145;0,7739;0,3358;0,7792;0,1799
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;93,0000;283,0000;549,0000;22,0000;0,2473;0,8087;0,3788;0,8237;0,2369
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;5,0000;21,0000;811,0000;110,0000;0,1923;0,0435;0,0709;0,6597;0,0274
OPENJPA;1;8,31;12,14;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;113,0000;827,0000;5,0000;2,0000;0,1202;0,9826;0,2142;0,6415;-0,0028
OPENJPA;1;8,31;12,14;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;36,0000;8,0000;824,0000;79,0000;0,8182;0,3130;0,4528;0,8304;0,4134
OPENJPA;1;8,31;12,14;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;64,0000;65,0000;767,0000;51,0000;0,4961;0,5565;0,5246;0,8479;0,4546
OPENJPA;1;8,31;12,14;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;832,0000;115,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;1;8,31;12,14;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;1,0000;0,0000;832,0000;114,0000;1,0000;0,0087;0,0172;0,5043;0,0152
